,Lv 1,,,,,Lv 2,,,,,Lv 3,,,,,Lv 4,,,,,Lv 5,,,,,Lv 6,,,,,Lv 7,,,,,Lv 8,,,,,Lv 9,,,,,Lv 10,,,,
,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size,hp,atk,range,speed,size
Normal,70,30,1,1,1,150,60,1,1,1,300,100,1,1,1,500,200,1,1,1,700,300,1,1,1,1000,400,1,1,1,1300,500,1,1,1,,,,,,,,,,,,,,,
Shield,200,20,1,3,1,400,40,1,3,1,800,80,1,3,1,1300,100,1,3,1,2000,200,1,3,1,2500,400,1,3,1,3000,300,1,3,1,,,,,,,,,,,,,,,
Archer,70,30,3,2,1,150,60,3,2,1,300,100,3,2,1,500,200,3,2,1,700,300,3,2,1,1000,400,3,2,1,1300,500,3,2,1,,,,,,,,,,,,,,,
Skeleton,100,30,1,1,1,300,100,1,1,1,600,250,1,1,1,1000,400,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkeletonMage,70,30,3,3,1,280,100,4,3,1,500,150,4,3,1,800,350,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golem,800,30,2,3,2,1200,100,2,3,2,2300,150,2,3,2,3000,200,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slime,500,70,1,2,1,1100,120,1,2,1,1700,160,1,2,1,2300,200,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imp,300,100,2,2,1,500,150,3,2,1,700,200,3,2,2,900,400,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,300,30,1,2,1,350,50,1,2,1,500,70,1,2,1,900,90,1,2,1,1200,120,1,2,1,1500,150,1,2,1,2000,180,1,2,1,2500,200,1,2,1,3000,250,1,2,1,4000,300,1,2,1
Kelberos,500,70,2,2,2,700,100,2,2,2,1100,150,2,2,2,1500,120,2,2,2,1900,300,2,2,2,2300,400,2,2,2,2800,500,2,2,2,3400,600,2,2,2,4000,700,2,2,2,,,,,
Gripon,700,100,2,2,2,1100,150,2,2,2,1500,200,2,2,2,1900,300,2,2,2,2300,400,2,2,2,2800,500,2,2,2,3400,600,2,2,2,4000,700,2,2,2,,,,,,,,,,
Cyclopse,2200,100,2,2,2,2800,150,2,2,2,3300,200,2,2,2,3700,300,2,2,2,4000,350,2,2,2,4500,400,2,2,2,4000,700,2,2,2,,,,,,,,,,,,,,,
Basilisk,1500,200,3,2,2,1900,300,3,2,2,2300,400,3,2,2,2800,500,3,2,2,3400,600,3,2,2,4000,700,3,2,2,,,,,,,,,,,,,,,,,,,,
Minotauros,1300,450,1,2,2,1700,550,1,2,2,2100,700,1,2,2,2500,850,1,2,2,3000,1000,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Kimera,4200,350,2,2,2,4800,400,2,2,2,5400,450,2,2,2,6000,500,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archedemon,2100,700,2,2,2,2500,850,2,2,2,3000,1000,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon,4000,1000,3,3,3,5000,1500,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death,3000,1300,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
